직업,학교 운동장,"공원(근린공원, 체육공원 등)","약수터, 등산로",사설 체력단련장(헬스클럽 등),"공터, 아파트단지",상기의 체육시설에 속하지 않은 시설,종합스포츠센터,고수부지,사설 종합스포츠시설,사설 골프장 및 골프연습장,사설 수영장,기타 공공체육시설,운동장,학교 체육관,실내체육관,기타 사설 체육시설(사설 운동 교습소 포함),사설 체육도장,수영장,기타 사회복지시설 내의 체육시설,축구장,테니스장,게이트볼장,노인복지시설,경로당,직장체육시설,골프연습장,기타 민간 비영리단체의 체육시설,야구장,기타 학교체육시설,학교 수영장,청소년수련관,유적지 공원,청소년수련원,사설 승마장,인라인ㆍ롤러스케이트장,YMCA의 운동시설,교회 등 종교시설의 체육시설,기타 청소년 수련시설 내의 체육시설,사설 빙상장,수상레저,사례수
관리자,10.1,0.0,18.3,3.7,2.5,1.8,16.2,1.5,6.5,28.5,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
전문가 및 관련종사자,8.2,8.5,11.7,13.7,1.8,7.8,1.6,4.8,5.1,13.0,0.0,0.0,4.7,0.6,4.6,3.4,1.8,0.0,0.7,0.9,1.6,0.0,0.0,0.0,0.5,1.6,0.0,0.6,0.0,0.7,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107
사무종사자,12.4,10.4,10.4,20.6,5.6,5.4,4.2,3.4,5.1,3.6,2.2,0.9,1.1,1.3,3.0,2.4,0.3,0.9,0.5,1.2,1.0,0.0,0.0,0.0,1.1,0.9,0.3,0.9,0.1,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.0,652
서비스종사자,17.1,12.1,13.4,14.0,6.0,8.5,3.0,3.6,2.9,1.7,1.1,2.9,1.8,1.6,1.7,1.4,0.4,2.3,1.2,0.9,0.1,0.1,0.0,0.2,0.3,0.4,0.1,0.0,0.0,0.5,0.0,0.4,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,489
판매종사자,19.8,9.5,15.2,11.2,7.5,8.1,3.7,4.1,2.0,3.3,1.7,1.6,1.5,1.0,2.0,1.5,0.8,1.1,1.3,0.7,0.1,0.3,0.0,0.3,0.0,0.2,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.1,725
농림어업 숙련종사자,23.5,11.1,15.0,0.3,4.4,13.6,0.9,1.0,0.4,0.5,0.0,4.9,2.1,0.9,0.5,0.5,0.4,0.7,4.1,0.0,1.1,8.0,1.9,3.1,0.8,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190
기능원/관련 기능 종사자,14.3,15.5,21.5,9.8,6.6,7.4,2.6,2.6,1.2,1.6,0.5,1.6,2.3,3.9,1.1,1.1,0.5,0.9,0.3,1.3,1.2,0.3,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,215
장치기계조작/ 조립종사자,10.8,7.3,20.5,7.8,6.3,20.5,0.0,2.7,1.0,0.0,2.8,1.3,3.3,2.5,1.5,3.0,0.0,0.0,0.0,4.0,3.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62
단순노무 종사자,9.0,17.3,24.9,2.1,5.1,15.0,0.4,4.4,3.5,0.0,0.0,7.5,1.3,0.7,1.2,1.3,0.5,0.0,0.8,0.0,0.9,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102
전업주부,12.6,18.0,13.5,6.6,9.0,6.1,6.6,3.3,4.3,1.3,4.3,1.7,1.2,1.0,1.2,1.3,0.3,1.4,1.2,0.2,0.4,0.2,1.2,1.0,0.2,0.3,0.5,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.1,0.2,0.0,0.0,852
학생,37.5,9.3,1.9,10.8,5.9,2.1,3.6,2.2,2.8,0.0,2.1,1.5,2.5,4.2,1.3,1.6,4.8,0.7,0.0,1.5,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.7,0.3,0.0,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0.0,0.0,770
무직,9.3,21.6,14.1,4.8,16.5,7.0,2.8,3.5,0.4,0.9,0.0,1.6,2.5,0.0,1.1,0.3,0.5,0.9,0.4,1.4,0.3,2.1,5.2,2.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
